city,lat,lng,STATE,population,id
Brandon,43.5928,-96.5799,SD,9263,1840002650
Rapid Valley,44.0674,-103.1225,SD,9034,1840004098
Madison,44.0062,-97.1084,SD,6983,1840002540
Sturgis,44.411,-103.4976,SD,6862,1840002174
Tea,43.4511,-96.8339,SD,5415,1840002841
Belle Fourche,44.6642,-103.8564,SD,5202,1840002127
Nashville,36.1715,-86.7843,TN,1076645,1840036155
Memphis,35.1046,-89.9773,TN,1068873,1840015457
Knoxville,35.9692,-83.9496,TN,585249,1840014486
Chattanooga,35.0657,-85.2487,TN,407182,1840014569
Clarksville,36.5696,-87.3428,TN,182849,1840014421
Murfreesboro,35.8493,-86.4117,TN,167055,1840014495
Johnson City,36.3406,-82.3803,TN,126589,1840014462
Kingsport,36.5224,-82.5452,TN,118001,1840014425
Franklin,35.9216,-86.8525,TN,78321,1840013380
Jackson,35.6536,-88.8353,TN,73685,1840014528
Cleveland,35.1818,-84.8707,TN,71944,1840014603
Bristol,36.5572,-82.2154,TN,69865,1840013301
Morristown,36.2047,-83.3005,TN,60316,1840014467
Bartlett,35.2337,-89.8195,TN,59102,1840013472
Hendersonville,36.3063,-86.5998,TN,57517,1840014419
Collierville,35.0471,-89.6988,TN,50286,1840016403
Smyrna,35.9722,-86.5253,TN,49969,1840017758
Cookeville,36.1484,-85.5114,TN,48587,1840014470
Brentwood,35.9918,-86.7758,TN,42667,1840013381
Spring Hill,35.7438,-86.9116,TN,42563,1840015386
Germantown,35.0829,-89.7825,TN,39141,1840013473
Columbia,35.6236,-87.0487,TN,38577,1840014518
Gallatin,36.3782,-86.4696,TN,37351,1840013295
La Vergne,36.0203,-86.5582,TN,35717,1840014496
Mount Juliet,36.1991,-86.5114,TN,34726,1840014465
Lebanon,36.2039,-86.3475,TN,34027,1840014466
Oak Ridge,35.9638,-84.2938,TN,29096,1840014473
Maryville,35.7469,-83.9787,TN,28765,1840015380
Sevierville,35.8873,-83.5678,TN,24958,1840015359
Greeneville,36.168,-82.8198,TN,23678,1840016099
Harriman,35.9306,-84.5603,TN,22804,1840013385
Farragut,35.8731,-84.1822,TN,22729,1840016171
Shelbyville,35.4987,-86.4516,TN,21182,1840015412
East Ridge,34.9973,-85.2285,TN,21118,1840013452
Dyersburg,36.0465,-89.3777,TN,21043,1840013372
Atoka,35.4239,-89.7861,TN,20717,1840015416
La Follette,36.3718,-84.1256,TN,19220,1840036150
Tullahoma,35.3721,-86.2173,TN,17781,1840015410
Springfield,36.4943,-86.8709,TN,17777,1840015273
Crossville,35.9526,-85.0294,TN,17326,1840014489
Dickson,36.064,-87.3668,TN,17085,1840014468
Goodlettsville,36.3327,-86.7029,TN,16867,1840013345
Athens,35.4573,-84.6045,TN,16170,1840013429
McMinnville,35.6863,-85.7812,TN,15449,1840015385
Elizabethton,36.3367,-82.2369,TN,13743,1840013314
Soddy-Daisy,35.2571,-85.174,TN,13693,1840035990
Lakeland,35.2585,-89.7308,TN,12618,1840014594
Middle Valley,35.1878,-85.1958,TN,12252,1840013450
Portland,36.5883,-86.5194,TN,12020,1840014418
Manchester,35.463,-86.0774,TN,11987,1840015409
Red Bank,35.1117,-85.2962,TN,11754,1840014571
Arlington,35.2594,-89.668,TN,11681,1840015458
Collegedale,35.0521,-85.0488,TN,11659,1840014570
Winchester,35.1898,-86.1075,TN,11642,1840015466
White House,36.4649,-86.6667,TN,11608,1840015274
Newport,35.9617,-83.1977,TN,11343,1840014487
Lewisburg,35.4493,-86.7896,TN,11177,1840014544
Millington,35.335,-89.8991,TN,11033,1840014593
Paris,36.2933,-88.3065,TN,10576,1840014438
Seymour,35.8761,-83.7742,TN,10574,1840013386
Martin,36.3386,-88.8512,TN,10473,1840015282
Lawrenceburg,35.2497,-87.3325,TN,10433,1840014568
Dayton,35.4912,-85.012,TN,10405,1840014525
Alcoa,35.8073,-83.9752,TN,10228,1840013404
Clinton,36.0981,-84.1283,TN,10103,1840014471
Hartsville,36.3921,-86.1568,TN,10083,1840073881
Union City,36.4268,-89.0474,TN,9853,1840015280
Erwin,36.1456,-82.4116,TN,9421,1840016130
Fayetteville,35.149,-86.5634,TN,9400,1840013476
Bloomingdale,36.5793,-82.5096,TN,9222,1840013297
Brownsville,35.589,-89.2578,TN,9206,1840013413
Lenoir City,35.811,-84.2817,TN,9199,1840014514
Signal Mountain,35.1449,-85.3457,TN,8560,1840017859
Humboldt,35.8255,-88.9043,TN,8448,1840014484
Oakland,35.2256,-89.5372,TN,8426,1840016407
Covington,35.5661,-89.6482,TN,8371,1840014547
Jefferson City,36.1196,-83.4838,TN,8346,1840014485
Savannah,35.2211,-88.2359,TN,8333,1840015453
Ripley,35.7449,-89.5358,TN,8331,1840014509
